Genus	Domesticated	Grazer	Specialized	Water	Open	Highlands	Migration	Endemic	Tropical	HYP	AL	OL	SF	OT	GO	BU	Nearctic	Palearctic	Afrotropic	Indomalaya	Australasia	Neotropic
Macropus	0	1	0	0	1	0	0	0	1	1	0	1	1	0	0	0					1	
Pongo	0	0	1	0.5	0	0	0	0	1	1	0	0	0	0	0	1				1		
Gorilla	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1			1			
Pan	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	1			1			
Equus (horse)	1	0.67	0	1	1	0	0.5	0	0	3	0	1	0	1	0	0		0.5				
Equus (zebra)	0	1	0	1	1	0	1	0	1	3	0	1	0	1	0	0			0.5			
Equus (donkey)	1	0.67	0	0.5	1	1	0	0	0	3	0	1	0	1	0	0		0.5	0.5			
Tapirus	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	1	1				1
Dicerorhinus	0	0	0	1	0	0	0	0	1	1	1	1	0	0	0	0				1		
Sus	1	0	0	1	0	0	0.5	0	0	1	0	0	0	0	0	1		1		1		
Potamochoerus	0	0	0	1	0	0.5	0	0	1	1	0	0	0	0	0	1			1			
Hylochoerus	0	0	0	1	0	0	0	0	1	2	0	1	1	0	0	0			1			
Phacochoerus	0	1	0	0.5	1	0	0	0	1	3	0	0	0	1	0	0			1			
Babyrousa	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	1				1		
Lama	1	0.67	0	0.5	1	1	0.5	0	0	3	0	1	0	0	1	0						1
Vicugna	1	1	0	1	1	1	0	0	0	3	0	1	0	0	1	0						1
Camelus (Dromedary)	1	0.33	0	0.5	1	0	0.5	0	0	3	0	1	0	0	1	0		0.5				
Camelus (Bactrian)	1	0.33	0	0.5	1	1	1	0	0	3	0	1	0	0	1	0		0.5				
Okapia	0	0	0	0.5	0	0	0	0	1	1	1	0	0	0	0	0			1			
Dama	0	0.33	0	1	0	0	0	0	0	1	1	0	0	0	0	0		1				
Cervus	0	0	0	1	0.5	1	1	0	0	2	0	1	1	0	0	0	1	1				
Rucervus	0	0.67	1	1	0	0	0.5	1	1	1	1	0	0	0	0	0				1		
Rusa	0	0.67	0	0	0.5	0.5	0	1	1	2	0	1	1	0	0	0				1		
Axis	0	0.67	0	1	0	0	0	0	1	2	0	1	1	0	0	0				1		
Elaphurus	0	1	1	1	0	0	1	1	1	1	0	1	1	0	0	0				1		
Odocoileus	0	0	0	0.5	0	0	1	0	0	1	1	0	0	0	0	0	1					1
Blastocerus	0	0.33	1	1	0.5	0	0	0	1	1	1	0	0	0	0	0						1
Hippocamelus	0	0.33	0	1	1	1	1	0	0	1	1	0	0	0	0	0						1
Rangifer	0	0	0	0.5	1	0	1	0	0	1	0	1	0	0	1	0	1	1				
Alces	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	1				
Antilocapra	0	0.33	0	1	1	1	1	0	0	3	0	1	0	0	1	0	1					
Tragelaphus	0	0.33	0	0	0.5	0.5	0	0	1	2	0.5	0.5	0	0	0.5	0			1			
Taurotragus	0	0.67	0	0	0.5	0.5	1	0	1	3	0	1	0	0	1	0			1			
