k	Nearctic	Palearctic	Afrotropic	Indomalaya	Australasia	Neotropic
0	22.1	23.05	17.15	15.07	8	18.29
1	6	2.73	0	1.43	0	2.86
2	12	5.45	0	2.86	0	5.71
3	18	8.18	0	4.29	0	8.57
4	24	10.91	0	5.71	0	11.43
5	30	13.64	0	7.14	0	14.29
6	30	18.18	0	7.14	0	14.29
7	30	20.78	0.89	7.14	0	16.33
8	30	23.38	1.79	7.14	0	18.37
9	30	25.97	2.68	7.14	0	20.41
10	30	28.57	3.57	7.14	0	22.45
11	30	31.17	4.46	7.14	0	24.49
12	30	33.77	5.36	7.14	0	26.53
13	30	36.36	6.25	7.14	0	28.57
14	30	40.91	6.25	7.14	0	28.57
15	32.5	43.75	6.77	8.93	0	28.57
16	35	46.59	7.29	10.71	0	28.57
17	37.5	49.43	7.81	12.5	0	28.57
18	40	52.27	8.33	14.29	0	28.57
19	40	52.73	11.67	14.29	0	28.57
20	40	53.18	15	14.29	0	28.57
21	40	53.64	18.33	14.29	0	28.57
22	40	54.09	21.67	14.29	0	28.57
23	40	54.55	25	14.29	0	28.57
24	46.67	56.82	25	14.29	0	28.57
25	53.33	59.09	25	14.29	0	28.57
26	60	61.36	25	14.29	0	28.57
27	60	61.36	25	19.05	0	33.33
28	60	61.36	25	23.81	0	38.1
29	60	61.36	25	28.57	0	42.86
30	60	62.12	27.78	28.57	0	42.86
31	60	62.88	30.56	28.57	0	42.86
32	60	63.64	33.33	28.57	0	42.86
33	60	63.64	37.5	28.57	0	42.86
34	60	63.64	41.67	28.57	0	42.86
35	60	65.91	45.83	28.57	0	42.86
36	60	68.18	50	28.57	0	42.86
37	60	68.18	51.39	33.33	0	42.86
38	60	68.18	52.78	38.1	0	42.86
39	60	68.18	54.17	42.86	0	42.86
40	60	72.73	54.17	42.86	0	42.86
41	60	72.73	56.25	42.86	0	50
42	60	72.73	58.33	42.86	0	57.14
43	60	72.73	58.33	50	0	57.14
44	60	74.24	61.11	52.38	0	57.14
45	60	75.76	63.89	54.76	0	57.14
46	60	77.27	66.67	57.14	0	57.14
47	62.5	78.41	69.79	57.14	0	57.14
48	65	79.55	72.92	57.14	0	57.14
49	67.5	80.68	76.04	57.14	0	57.14
50	70	81.82	79.17	57.14	0	57.14
51	70	81.82	81.67	58.57	0	60
52	70	81.82	84.17	60	0	62.86
53	70	81.82	86.67	61.43	0	65.71
54	70	81.82	89.17	62.86	0	68.57
55	70	81.82	91.67	64.29	0	71.43
56	74	84.55	91.67	65.71	20	74.29
57	78	87.27	91.67	67.14	40	77.14
58	82	90	91.67	68.57	60	80
59	86	92.73	91.67	70	80	82.86
60	90	95.45	91.67	71.43	100	85.71
61	90	95.45	93.75	75	100	85.71
62	90	95.45	95.83	78.57	100	85.71
63	92	96.36	96.67	81.43	100	88.57
64	94	97.27	97.5	84.29	100	91.43
65	96	98.18	98.33	87.14	100	94.29
66	98	99.09	99.17	90	100	97.14
67	100	100	100	92.86	100	100
68	100	100	100	100	100	100
